,Doc 1,Doc 2,Doc 3,Doc 4
Doc 1,1.0000000000000002,0.14861018439506088,0.17107422316032408,0.8202223899099268
Doc 2,0.14861018439506088,1.0,0.29785259376099316,0.01578102457346199
Doc 3,0.17107422316032408,0.29785259376099316,1.0000000000000002,0.42526289482291046
Doc 4,0.8202223899099268,0.01578102457346199,0.42526289482291046,1.0000000000000002
